Rank,Team,off_eff,def_eff,possessions,Elo
117,Cincinnati Bearcats,105.0796494668482,98.1723076585258,69.49545454545455,1548.2279995642882
118,Monmouth Hawks,106.41365842874589,103.8648259968088,67.52424242424243,1548.2132651414895
119,Texas State Bobcats,105.87161967892065,105.93093699275036,67.8975,1545.803226568635
120,Seattle U Redhawks,100.94353526813187,99.08117472787708,69.1241935483871,1545.5363535114236
121,UIC Flames,108.48693021477759,104.38853468089468,67.87661290322582,1545.431675530889
122,Cal State Northridge Matadors,106.12921422197442,107.48200656666486,76.18249999999999,1544.418976500331
123,Towson Tigers,104.62351402730259,103.71121561153268,64.13046875,1544.1734038220998
124,Murray State Racers,115.61567756061604,110.26270260247264,72.04609375,1543.9159127018736
125,Utah Tech Trailblazers,107.5964890353926,109.22844947815878,69.40431034482758,1543.7056633499417
126,UC Davis Aggies,107.02733713509285,106.56850356782084,71.40603448275863,1542.6929314984277
127,Marist Red Foxes,103.70301841275993,95.38065396725473,66.44416666666667,1540.986072878672
128,Cal State Fullerton Titans,107.96362419480813,109.53956592789349,75.02166666666668,1539.990670624696
129,Louisiana Tech Bulldogs,102.46766285252046,103.89600145298525,66.14375,1539.837919475156
130,Georgia Southern Eagles,111.78581281468246,111.5298413287528,71.54428571428572,1539.610979266059
131,Western Kentucky Hilltoppers,108.59489268526642,107.4327102600498,71.47586206896553,1539.2606052059175
132,Texas Longhorns,119.57415407263835,111.21102525489228,69.10806451612903,1538.9469849100742
133,UNLV Rebels,111.70069504430494,111.24627773359302,71.51129032258065,1538.392331453663
134,North Texas Mean Green,102.95987474927439,101.17764570930285,66.67327586206896,1537.860383132791
135,Oklahoma State Cowboys,112.159203680177,111.38739938170062,74.4628787878788,1537.5878671718194
136,Southern Miss Golden Eagles,105.4342591808333,106.8224651561545,70.2030303030303,1537.243053687228
137,Detroit Mercy Titans,109.36375650232031,112.77116269069845,69.83500000000001,1537.0604906547949
138,Samford Bulldogs,112.40005945263769,111.37832085211083,69.33,1536.2705457365903
139,Toledo Rockets,115.17937660096811,112.00892054985535,69.57844827586207,1535.9969489912903
140,App State Mountaineers,107.71971416499632,104.70094660741553,64.30749999999999,1535.630226074917
141,Saint Peter's Peacocks,105.05844493915761,104.41570711191696,66.00089285714286,1535.1288789741832
142,Marshall Thundering Herd,114.3357080457554,111.28632741828895,70.48709677419355,1534.9200790964364
143,Mercer Bears,115.3685183526229,111.77337965310542,69.46982758620689,1533.0531997117755
144,Cornell Big Red,119.83386706981818,116.09805234985166,72.105,1532.7150736482276
145,Indiana Hoosiers,116.3203490372195,108.48326706219373,67.16129032258064,1532.701550070674
146,West Virginia Mountaineers,106.55209695794518,100.13597243405817,64.8890625,1531.7156504778968
147,Northern Kentucky Norse,113.47684033126859,110.38667238256306,71.54838709677419,1531.4081903473946
148,Valparaiso Beacons,107.16783953465203,106.54178166980648,67.10161290322581,1531.2417753161544
149,Arizona State Sun Devils,108.21502349457745,110.83254038096527,70.55,1531.0646563628952
150,Duquesne Dukes,109.22142524991388,108.92054585663092,70.70982142857143,1531.0188287659314
151,Lehigh Mountain Hawks,105.2417943164207,108.38266913276077,68.81796874999999,1530.9746483367696
152,Florida Atlantic Owls,109.14115513904817,106.25909180020807,70.38166666666666,1530.8583578845244
153,Kennesaw State Owls,110.79576697108553,108.38513714619157,72.48660714285714,1530.711599208899
154,James Madison Dukes,110.54390475251952,110.20776060748764,67.66171875,1530.3917622798674
155,SIU Edwardsville Cougars,103.03809526097096,102.15113314988226,66.245,1530.1868600254884
156,Middle Tennessee Blue Raiders,108.02457252247471,108.77884304254758,68.28571428571429,1529.9554974651007
157,Lipscomb Bisons,110.73097214375376,108.53074460026585,70.38189655172414,1529.8931779871282
158,Fordham Rams,104.73131809237438,102.23486744634263,64.70446428571428,1529.7983834790432
159,Bowling Green Falcons,108.66445896771164,102.89732272544258,70.97053571428572,1529.2530756971742
160,Green Bay Phoenix,113.40104607990841,116.79324240916556,65.37822580645161,1529.0357955962747
161,Wyoming Cowboys,113.12182133697065,109.00824393173059,67.43145161290323,1528.1080496797906
162,Wake Forest Demon Deacons,110.67313947191123,110.43843699700746,69.6390625,1528.079554596978
163,Tulane Green Wave,105.39522184238426,109.85088978037777,68.7258064516129,1527.564774764582
164,UT Arlington Mavericks,100.64928513200857,100.8548735374877,67.40803571428572,1527.5481187944863
165,Montana State Bobcats,111.75879464567966,107.83799826943226,67.73103448275862,1527.1236560042853
166,Oregon State Beavers,106.07266110886479,110.49742200097934,67.1560606060606,1526.8624325020637
167,North Dakota Fighting Hawks,106.75366762449292,114.1938003944358,69.6578125,1526.3563890539604
168,Texas A&M-Corpus Christi Islanders,102.9599692441848,103.6819731864648,66.80603448275862,1525.8545184348995
169,Quinnipiac Bobcats,104.9464848007231,103.13776346475889,70.54032258064517,1525.7161302084296
170,Central Connecticut Blue Devils,107.68812604627078,109.95373032245838,65.51339285714286,1525.648747197549
171,Auburn Tigers,118.77688126836422,114.49980555685369,69.6008064516129,1524.5961023318368
172,Wofford Terriers,113.7054854430599,114.3413317747996,68.75666666666666,1523.8484055884098
173,George Washington Revolutionaries,115.87564545487068,106.86897944884467,70.74416666666666,1521.2161059054324
174,Pacific Tigers,108.48415457083063,105.33557504334595,65.79838709677419,1520.8691780502832
175,Colorado Buffaloes,113.5971150921349,112.38541871091448,70.3703125,1520.8443011542963
176,UC Santa Barbara Gauchos,113.48372493154567,107.85806702880663,67.85258620689656,1517.616429494884
177,USC Trojans,107.63507514170053,108.59142628374488,72.43306451612904,1514.5420855237749
178,Montana Grizzlies,107.32963538518854,109.1613916458853,71.00431034482759,1514.463177005512
179,Bethune-Cookman Wildcats,104.05788514557435,107.55175640216503,71.68951612903226,1514.4429977305792
